id,en,tw,status,comment
1,able,(adj.4) 能;有能力的,,1
2,above,"(adj.5) 上文的,前述的",,1
3,adult,(adj.5) 成年的;成熟的;色情的,,1
4,afraid,(adj.6) 害怕,,1
5,all,(adj.3) 所有的;全部,,1
6,alone,(adj.5) 單獨的;孤單的,,1
7,angry,(adj.5) 生氣的,,1
8,another,(adj.7) 另一個,,1
9,any,(adj.3) 任何的,,1
10,back,(adj.4) 後面的;拖欠的;過去的,,1
11,bad,(adj.3) 壞的,,1
12,basic,(adj.5) 基本的,,1
13,beautiful,(adj.9) 漂亮的,,1
14,best,(adj.4) 最好的;最熟練的;最適當的,,1
15,better,(adj.6) 較佳的;更好的;更適當的,,1
16,big,(adj.3) 大的,,1
17,black,(adj.5) 黑色的,,1
18,blue,(adj.4) 藍色的,,1
19,born,(adj.4) 出生的;誕生的,,1
20,both,(adj.4) 兩者,,1
21,bottom,"(adj.6) 最低的;最後的,最下的",,1
22,brave,(adj.5) 勇敢的,,1
23,bright,(adj.6) 光亮的,,1
24,brown,(adj.5) 褐色的;棕色的,,1
25,busy,(adj.4) 忙碌的,,1
26,careful,(adj.7) 小心的,,1
27,certain,(adj.7) 肯定的,,1
28,chief,(adj.5) 為首的;主要的,,1
29,clean,(adj.5) 乾淨的,,1
30,clear,(adj.5) 清楚的;晴朗的,,1
31,close,(adj.5) 近的;密切的,,1
32,cold,(adj.4) 寒冷的,,1
33,common,(adj.6) 常見的,,1
34,cool,(adj.4) 涼快的;很棒的;酷,,1
35,correct,(adj.7) 正確的,,1
36,cute,(adj.4) 可愛的,,1
37,dark,(adj.4) 黑暗的,,1
38,dead,(adj.4) 死的,,1
39,dear,(adj.4) 親愛的,,1
40,deep,(adj.4) 深的,,1
41,different,(adj.9) 不同的,,1
42,difficult,(adj.9) 困難的,,1
43,direct,(adj.6) 直接的,,1
44,dirty,(adj.5) 骯髒的,,1
45,down,"(adj.4) 情緒低落,消沈;(分期付款的)第一期的",,1
46,downstairs,(adj.10) 樓下的,,1
47,dry,(adj.3) 乾的,,1
48,each,(adj.4) 每個,,1
49,early,(adj.5) 早的;提早的,,1
50,east,(adj.4) 東方的,,1
51,easy,(adj.4) 容易的,,1
52,eight,(adj.5) 八的,,1
53,eighteen,(adj.8) 十八的,,1
54,eighty,(adj.6) 八十的,,1
55,either,(adj.6) 兩者之一,,1
56,eleven,(adj.6) 十一的,,1
57,English,(adj.7) 英格蘭的;英國的;英國人的;英語的,,1
58,enough,(adj.6) 足夠的,,1
59,equal,(adj.5) 相等的; 平等的,,1
60,even,(adj.4) 均勻的;偶數的;平手的,,1
61,every,(adj.5) 每一個的,,1
62,FALSE,(adj.5) 假的,,1
63,far,(adj.3) 遠的,,1
64,fast,(adj.4) 快的,,1
65,fat,(adj.3) 胖的,,1
66,few,(adj.3) 少數的;一些,,1
67,fifteen,(adj.7) 十五的,,1
68,fifty,(adj.5) 五十的,,1
69,final,(adj.5) 最終的,,1
70,fine,(adj.4) 好的,,1
71,first,(adj.5) 第一的,,1
72,five,(adj.4) 五的,,1
73,foreign,"(adj.7) 外國的,陌生的,外來的",,1
74,forty,(adj.5) 四十的,,1
75,four,(adj.4) 四的,,1
76,fourteen,(adj.8) 十四的,,1
77,free,(adj.4) 空閒的;自由的;免費的,,1
78,fresh,(adj.5) 新鮮的,,1
79,front,(adj.5) 前面的;正面的,,1
80,full,(adj.4) 飽的;滿的,,1
81,funny,(adj.5) 可笑的;滑稽的,,1
82,general,(adj.7) 普遍的,,1
83,glad,(adj.4) 高興的,,1
84,gold,(adj.4) 金製的,,1
85,good,(adj.4) 好的,,1
86,grand,(adj.5) 雄偉的;總的,,1
87,gray,(adj.4) 灰色的,,1
88,great,(adj.5) 很棒;大的,,1
89,green,(adj.5) 綠色的,,1
90,grey,(adj.4) 灰色的,,1
91,half,"(adj.4) 一半的,二分之一的;不完整的",,1
92,happy,(adj.5) 快樂的,,1
93,hard,(adj.4) 硬的;難的,,1
94,heavy,(adj.5) 重的,,1
95,high,(adj.4) 高的,,1
96,home,(adj.4) 家庭的;國內的,,1
97,hot,(adj.3) 熱的,,1
98,huge,(adj.4) 巨大的,,1
99,human,(adj.5) 人類的,,1
100,hundred,(adj.7) 一百的,,1
101,hungry,(adj.6) 飢餓的,,1
102,important,(adj.9) 重要的,,1
