id,en,tw,status,comment
1,run across,偶遇,-1,I ran across my old roommate at the college reunion.
2,turn down (2),拒絕,-1,"He applied for a promotion twice this year, but he was turned down both times."
3,put up with,忍耐,-1,The teacher had to put up with a great deal of nonsense from the new students.
4,read over,詳讀,-1,"I read over the homework, but couldn't make any sense of it."
5,run into,偶遇，遇見,-1,Carlos ran into his English professor in the hallway.
6,come to,恢復知覺,1,"He was hit on the head very hard, but after several minutes, he started to come to again."
7,break in on,打斷 (交談),1,I was talking to Mom on the phone when the operator broke in on our call.
8,make sure of,查明,1,Make sure of the student's identity before you let him into the classroom.
9,catch up with,追及，趕上,1,"After our month-long trip, it was time to catch up with the neighbors and the news around town."
10,show up,出現,1,"Day after day, Efrain showed up for class twenty minutes late."
11,go on (2),發生,1,The cops heard all the noise and stopped to see what was going on.
12,go through,用完，耗盡,1,They country went through most of its coal reserves in one year. Did he go through all his money already?
13,give back,歸還,1,My brother borrowed my car. I have a feeling he's not about to give it back.
14,come over,訪問,1,"The children promised to come over, but they never do."
15,look after,照顧，照料,1,My mother promised to look after my dog while I was gone.
16,get rid of,除去,1,The citizens tried to get rid of their corrupt mayor in the recent election.
17,turn off (2),排斥,1,It was a disgusting movie. It really turned me off.
18,give away,贈送,1,The filling station was giving away free gas.
19,pass out,昏厥，失去知覺,1,He had drunk too much; he passed out on the sidewalk outside the bar.
20,eat out,在 (餐廳等) 用餐,1,"When we visited Paris, we loved eating out in the sidewalk cafes."
21,come in,進入,1,"They tried to come in through the back door, but it was locked."
22,take care of,負責，照顧,1,My oldest sister took care of us younger children after Mom died.
23,make out,聽到，瞭解,1,"He was so far away, we really couldn't make out what he was saying."
24,pick out,挑選,1,There were three men in the line-up. She picked out the guy she thought had stolen her purse.
25,look down on,輕視，瞧不起,1,It's typical of a jingoistic country that the citizens look down on their geographical neighbors.
26,keep away,遠離,1,The judge warned the stalker to keep away from his victim's home.
27,get up,起床，起來,1,"Grandmother tried to get up, but the couch was too low, and she couldn't make it on her own."
28,point out,引起注意,1,"As we drove through Paris, Francoise pointed out the major historical sites."
29,make up,虛構，捏造,1,"She knew she was in trouble, so she made up a story about going to the movies with her friends."
30,bring up,養育，扶養,1,It isn't easy to bring up children nowadays.
31,cut down on,縮減 (開支),1,We tried to cut down on the money we were spending on entertainment.
32,take down,記下,1,These are your instructions. Write them down before you forget.
33,drop out of,中途退學,1,I hope none of my students drop out of school this semester.
34,put off,延期,1,We asked the boss to put off the meeting until tomorrow. (Please put it off for another day.)
35,look forward to,快樂地期盼，盼望,1,I always look forward to the beginning of a new semester.
36,wait on,伺候，服務,1,It seemed strange to see my old boss wait on tables.
37,turn off,關掉 (電燈等),1,We turned off the lights before anyone could see us.
38,hand in,呈遞，繳交,1,The students handed in their papers and left the room.
39,take after,像，相似,1,My second son seems to take after his mother.
